Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite,Chrome 129.0.0.0,,,11-10-2024 01:14:53,11-10-2024 01:15:37,44.334s,PASSED
,,,,,,,
Test Cases/UITests/Login_KatalonDemo_record,Chrome 129.0.0.0,Log in to the application using username and password,@loginTest,11-10-2024 01:14:53,11-10-2024 01:15:18,24.625s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,11-10-2024 01:14:54,11-10-2024 01:14:58,4.284s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 129.0.0.0,,,11-10-2024 01:14:58,11-10-2024 01:15:02,3.843s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 129.0.0.0,,,11-10-2024 01:15:02,11-10-2024 01:15:04,1.280s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 129.0.0.0,,,11-10-2024 01:15:04,11-10-2024 01:15:05,1.057s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""9NLz+4tGZcQ="")",Chrome 129.0.0.0,,,11-10-2024 01:15:05,11-10-2024 01:15:05,0.706s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/span_Demo account_demo_password_label""))",Chrome 129.0.0.0,,,11-10-2024 01:15:05,11-10-2024 01:15:06,0.476s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 129.0.0.0,,,11-10-2024 01:15:06,11-10-2024 01:15:07,0.651s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 129.0.0.0,,,11-10-2024 01:15:07,11-10-2024 01:15:08,1.291s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 129.0.0.0,,,11-10-2024 01:15:08,11-10-2024 01:15:09,1.185s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospit_63901f""))",Chrome 129.0.0.0,,,11-10-2024 01:15:09,11-10-2024 01:15:09,0.424s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_None_programs""))",Chrome 129.0.0.0,,,11-10-2024 01:15:09,11-10-2024 01:15:10,0.401s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/span_Visit Date (Required)_glyphicon glyphi_cada34""))",Chrome 129.0.0.0,,,11-10-2024 01:15:10,11-10-2024 01:15:10,0.434s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_24""))",Chrome 129.0.0.0,,,11-10-2024 01:15:10,11-10-2024 01:15:11,0.675s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_Comment_comment""), ""Demo appointment"")",Chrome 129.0.0.0,,,11-10-2024 01:15:11,11-10-2024 01:15:12,1.170s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 129.0.0.0,,,11-10-2024 01:15:12,11-10-2024 01:15:15,2.444s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_Please be informed that your appointment _11813a""), 0)",Chrome 129.0.0.0,,,11-10-2024 01:15:15,11-10-2024 01:15:15,0.436s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_Please be informed that your appointment _11813a""), ""Please be informed that your appointment has been booked as following:"")",Chrome 129.0.0.0,,,11-10-2024 01:15:15,11-10-2024 01:15:15,0.400s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 129.0.0.0,,,11-10-2024 01:15:15,11-10-2024 01:15:16,0.770s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 129.0.0.0,,,11-10-2024 01:15:16,11-10-2024 01:15:17,0.448s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Logout""))",Chrome 129.0.0.0,,,11-10-2024 01:15:17,11-10-2024 01:15:18,1.128s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,11-10-2024 01:15:18,11-10-2024 01:15:18,0.361s,PASSED
,,,,,,,
Test Cases/UITests/Login_OrangeHRM_manual,Chrome 129.0.0.0,Creating the UI test cases manually,,11-10-2024 01:15:18,11-10-2024 01:15:27,8.667s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,11-10-2024 01:15:18,11-10-2024 01:15:20,1.367s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 129.0.0.0,,,11-10-2024 01:15:20,11-10-2024 01:15:24,4.229s,PASSED
waitForPageLoad(2),Chrome 129.0.0.0,,,11-10-2024 01:15:24,11-10-2024 01:15:24,0.355s,PASSED
"sendKeys(findTestObject(""Page_OrangeHRM/input_Username_username"", [""variable"":""Admin""]), ""Admin"")",Chrome 129.0.0.0,,,11-10-2024 01:15:24,11-10-2024 01:15:25,1.039s,PASSED
"sendKeys(findTestObject(""Page_OrangeHRM/input_Password_password"", [""variable"":""admin123""]), ""admin123"")",Chrome 129.0.0.0,,,11-10-2024 01:15:25,11-10-2024 01:15:26,0.550s,PASSED
"click(findTestObject(""Page_OrangeHRM/button_Login""))",Chrome 129.0.0.0,,,11-10-2024 01:15:26,11-10-2024 01:15:26,0.405s,PASSED
closeBrowser(STOP_ON_FAILURE),Chrome 129.0.0.0,,,11-10-2024 01:15:26,11-10-2024 01:15:27,0.406s,PASSED
,,,,,,,
Test Cases/UITests/Login_OrangeHRM_scripting,Chrome 129.0.0.0,Creating the test case by scripting,,11-10-2024 01:15:27,11-10-2024 01:15:37,10.547s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,11-10-2024 01:15:27,11-10-2024 01:15:28,1.396s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 129.0.0.0,,,11-10-2024 01:15:28,11-10-2024 01:15:32,3.761s,PASSED
waitForPageLoad(2),Chrome 129.0.0.0,,,11-10-2024 01:15:32,11-10-2024 01:15:32,0.039s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 129.0.0.0,,,11-10-2024 01:15:32,11-10-2024 01:15:34,1.565s,PASSED
